location,topics 
"New York, NY","['ruby-on-rails', 'jquery', 'javascript', 'ajax', 'ruby', 'css']"
Norway,"['css', 'html', 'flexbox', 'javascript', 'jquery', 'css-transitions']"
United States,"['ios', 'objective-c', 'swift', 'xcode', 'iphone', 'autolayout']"
"Chattanooga, Tennessee, USA","['node.js', 'javascript', 'android', 'html', 'mysql', 'java']"
"Rio de Janeiro, RJ, Brasil","['keras', 'python', 'tensorflow', 'deep-learning', 'neural-network', 'lstm']"
,"['android', 'c++', 'qt', 'javascript', 'rust', 'git']"
Iran,"['swiftui', 'swift', 'ios', 'xcode', 'xcode11', 'ios13']"
,"['c', 'perl', 'haskell', 'c++', 'regex', 'javascript']"
,"['clojure', 'python', 'java', 'emacs', 'lisp', 'clojurescript']"
Australia,"['rust', 'python', 'django', 'javascript', 'vim', 'mercurial']"
,"['django', 'python', 'django-models', 'git', 'django-forms', 'django-admin']"
"Reading, United Kingdom","['objective-c', 'swift', 'ios', 'iphone', 'c', 'cocoa']"
"Houston, TX","['xamarin', 'c#', 'xamarin.forms', 'xamarin.ios', 'android', 'ios']"
"San Francisco, CA, USA","['android', 'java', 'android-fragments', 'android-loadermanager', 'sqlite', 'android-activity']"
Sweden,"['wpf', 'c#', 'xaml', '.net', 'data-binding', 'datagrid']"
India,"['php', 'mysql', 'html', 'arrays', 'sql', 'javascript']"
"Davis, CA","['python', 'c#', 'linq', 'javascript', '.net', 'sql']"
"Sydney NSW, Australia","['python', 'python-3.x', 'list', 'python-2.7', 'dictionary', 'django']"
"Austin, TX","['php', 'sql', 'python', 'regex', 'java', 'javascript']"
Arizona,"['reactjs', 'javascript', 'python', 'html', 'jquery', 'css']"
Denmark,"['jquery', 'datatables', 'javascript', 'twitter-bootstrap', 'html', 'jquery-datatables']"
"New York, New York, United States","['python', 'oop', 'list', 'java', 'string', 'pyqt']"
"Cambridge, United Kingdom","['ruby-on-rails', 'ruby', 'ruby-on-rails-3', 'activerecord', 'ruby-on-rails-4', 'rspec']"
Florida,"['javascript', 'html', 'css', 'ruby-on-rails', 'ruby', 'php']"
UK,"['vba', 'excel', 'web-scraping', 'python', 'beautifulsoup', 'html']"
,"['algorithm', 'c#', 'math', '.net', 'c++', 'java']"
,"['jquery', 'javascript', 'tablesorter', 'html', 'css', 'jquery-ui']"
"Sheffield, England United Kingdom","['java', 'maven-2', 'maven', 'eclipse', 'ant', 'maven-plugin']"
Michigan,"['jquery-mobile', 'jquery', 'php', 'javascript', 'html', 'sql']"
"Montpellier, France","['java', 'language-agnostic', 'c++', 'performance', 'scrum', 'agile']"
Greece,"['bash', 'linux', 'shell', 'java', 'c', 'unix']"
"Denver, CO","['javascript', 'html', 'jquery', 'canvas', 'ajax', 'dom']"
"Sydney, Australia","['sql', 'indexing', 'database', 'performance', 'database-indexes', 'jquery']"
"San Francisco, CA, United States","['python', 'python-3.x', 'pandas', 'list', 'numpy', 'dictionary']"
"Bethlehem, PA","['python', 'macos', 'osx-snow-leopard', 'gcc', 'osx-lion', 'installation']"
"Pune, India","['android', 'android-studio', 'java', 'android-activity', 'sqlite', 'google-cloud-messaging']"
"Sydney, Australia","['c#', '.net', 'asp.net-mvc', 'msdeploy', 'asp.net', 'system.reactive']"
"Midlands, United Kingdom","['elixir', 'phoenix-framework', 'ecto', 'javascript', 'ruby-on-rails', 'jquery']"
Easter Island,"['ruby-on-rails', 'ruby', 'ruby-on-rails-3', 'activerecord', 'arrays', 'hash']"
"Budapest, Hungary","['kotlin', 'android', 'java', 'android-studio', 'kotlin-android-extensions', 'lambda']"
"Hamburg, Germany","['c', 'c++', 'algorithm', 'assembly', 'arm', 'android']"
"New York, NY, United States","['matplotlib', 'python', 'plot', 'numpy', 'pandas', 'animation']"
"London, United Kingdom","['java', 'javascript', 'spring', 'spring-mvc', 'php', 'mysql']"
Tunisia,"['javascript', 'arrays', 'reactjs', 'jquery', 'node.js', 'html']"
"Heilbronn, Germany","['php', 'arrays', 'mysql', 'zend-framework', 'utf-8', 'javascript']"
"Columbus, OH","['jquery', 'javascript', 'html', 'css', 'c#', 'asp.net']"
"Las Vegas, NV","['ruby', 'ruby-on-rails', 'c', 'c++', 'usb', 'linux']"
"Didcot, United Kingdom","['python', 'bash', 'shell', 'linux', 'django', 'unix']"
"Singapore, Singapore","['c#', '.net', 'windows', 'oop', 'vb.net', 'sql']"
,"['asp.net-mvc', 'asp.net', 'asp.net-mvc-3', 'jquery', '.net', 'c#']"
,"['c#', '.net', 'c++', 'vb.net', 'winforms', 'linq']"
"Oxford, United Kingdom","['awk', 'bash', 'unix', 'linux', 'grep', 'shell']"
"Zurich, Switzerland","['python', 'performance', 'regex', 'java', 'linux', 'xml']"
Edmond OK,"['javascript', 'jquery', 'c#', 'html', 'asp.net', '.net']"
"Bathinda, Punjab, India","['angular', 'typescript', 'javascript', 'angular6', 'html', 'angular2-routing']"
United States,"['c++', 'elixir', 'phoenix-framework', 'asterisk', 'c#', 'erlang']"
"Portland, OR, United States","['php', 'javascript', 'css', 'html', 'jquery', 'mysql']"
,"['ios', 'swift', 'iphone', 'cocoa', 'xcode', 'objective-c']"
New Zealand,"['android', 'java', 'google-play', 'eclipse', 'android-layout', 'android-intent']"
,"['python', 'matplotlib', 'plot', 'numpy', 'scipy', 'matrix']"
"Madurai, Tamil Nadu, India","['ios', 'swift', 'objective-c', 'iphone', 'swift3', 'xcode']"
,"['c#', '.net', 'java', 'wpf', 'eclipse', 'maven']"
"Seattle, WA","['delphi', 'delphi-2010', 'delphi-2009', 'generics', 'delphi-xe', 'delphi-7']"
"Sacramento, CA","['sql', 'sql-server', 'c#', 'sql-server-2008', 'tsql', 'asp.net']"
,"['python', 'string', 'c#', '.net', 'java', 'windows']"
"Berlin, Germany","['ios', 'iphone', 'objective-c', 'xcode', 'cocoa-touch', 'swift']"
Nepal,"['css', 'javascript', 'html', 'jquery', 'reactjs', 'vue.js']"
,"['c++', 'arrays', 'string', 'c', 'vector', 'pointers']"
"New York, NY","['c++', 'c', 'sockets', 'linux', 'tcp', 'udp']"
"Bend, OR","['javascript', 'jquery', 'c', 'c++', 'html', 'css']"
"New York, NY","['git', 'repository', 'git-branch', 'git-push', 'git-remote', 'perl']"
"Sydney, Australia","['c++', 'c', 'gcc', 'linux', 'python', 'boost']"
"Tel Aviv, Israel","['django', 'orm', 'python', 'python-3.x', 'wxpython', 'multiprocessing']"
,"['bash', 'sed', 'linux', 'shell', 'awk', 'grep']"
Nebraska,"['javascript', 'jquery', 'html', 'css', 'c#', 'asp.net']"
"Barcelona, Spain","['python', 'matplotlib', 'pandas', 'list', 'python-3.x', 'wxpython']"
United Kingdom,"['sql', 'sql-server', 'tsql', 'mysql', 'sql-server-2008', 'postgresql']"
,"['c#', '.net', 'mysql', 'php', 'asp.net-mvc', 'c++']"
"Nagpur,Mumbai,Maharashtra India","['jquery', 'javascript', 'html', 'css', 'ajax', 'jquery-selectors']"
"Calgary, AB, Canada","['java', 'string', 'arrays', 'algorithm', 'c++', 'c#']"
"Cumming, GA, USA","['c++', 'objective-c', 'iphone', 'cocoa', 'ios', 'c']"
Germany,"['python', 'python-3.x', 'pandas', 'python-2.7', 'numpy', 'list']"
"New York, NY","['macos', 'objective-c', 'ios', 'iphone', 'cocoa-touch', 'cocoa']"
"Bluffton, OH","['python', 'bash', 'pyephem', 'linux', 'astronomy', 'skyfield']"
"Cambridge, United Kingdom","['c#', '.net', 'sql', 'visual-studio', 'sql-server', 'winforms']"
California,"['javascript', 'jquery', 'html', 'c#', 'asp.net-mvc', 'css']"
Gibraltar,"['python', 'html', 'javascript', 'ethereum', 'plone', 'django']"
"Phoenix, AZ","['c#', '.net', 'javascript', 'android', 'linq-to-sql', 'linq']"
"Springfield, MO","['ruby', 'jquery', 'oop', 'css', 'language-agnostic', 'c#']"
"Berlin, Germany","['python', 'java', 'python-3.x', 'list', 'algorithm', 'python-2.7']"
"Bengaluru, Karnataka, India","['python', 'list', 'python-3.x', 'pandas', 'dictionary', 'regex']"
"Hyderabad, Telangana, India","['javascript', 'jquery', 'sql', 'html', 'c#', 'sql-server']"
Germany,"['html', 'javascript', 'jquery', 'css', 'python', 'php']"
"Austin, TX","['java', 'c++', 'javascript', 'html', 'c#', '.net']"
,"['python', 'csv', 'unicode', 'string', 'regex', 'excel']"
"Hamburg, Germany","['git', 'java', 'linux', 'multithreading', 'version-control', 'svn']"
"Bristol, United Kingdom","['android', 'ios', 'objective-c', 'iphone', 'javascript', 'xcode']"
France,"['c++', 'c', 'oop', 'c++11', 'stl', 'c#']"
"Batavia, IL, United States","['c#', 'winforms', 'vb.net', '.net', 'datagridview', 'listbox']"
"Leander, TX, USA","['php', 'jquery', 'ruby-on-rails', 'ruby', 'android', 'javascript']"
India,"['ffmpeg', 'video', 'audio', 'video-processing', 'mp4', 'image']"
United States,"['python', 'sql-server', 'c#', 'javascript', 'asp.net', '.net']"
,"['python', 'numpy', 'list', 'pandas', 'go', 'dictionary']"
United States,"['java', 'c++', 'c', 'string', 'android', 'swing']"
"Zwolle, Netherlands","['javascript', 'php', 'html', 'jquery', 'css', 'zend-framework']"
"Omaha, NE","['c#', 'f#', 'functional-programming', '.net', 'asp.net', 'design-patterns']"
,"['swagger', 'openapi', 'swagger-2.0', 'vbscript', 'swagger-ui', 'swagger-editor']"
Slovenia,"['android', 'java', 'google-app-engine', 'gwt', 'google-cloud-datastore', 'python']"
"Idaho, United States","['java', 'git', 'android', 'python', 'c++', 'c']"
Hong Kong,"['java', 'spring', 'jpa', 'hibernate', 'spring-boot', 'eclipse']"
United Kingdom,"['c#', '.net', 'asp.net-web-api', 'asp.net', 'asp.net-mvc', 'wcf']"
"Harrogate, England, United Kingdom","['sql-server', '.net', 'javascript', 'c#', 'css', 'asp.net']"
"Nacogdoches, TX, United States","['c', 'bash', 'arrays', 'linux', 'shell', 'awk']"
"Bahia Blanca, Argentina","['c++', 'android', 'java', 'c', 'c++11', 'templates']"
"Düsseldorf, Germany","['java', 'git', 'eclipse', 'linux', 'svn', 'sql']"
"Kitchener, ON, Canada","['java', 'generics', 'string', 'arrays', 'multithreading', 'eclipse']"
,"['ios', 'swift', 'objective-c', 'xcode', 'core-data', 'iphone']"
"Leipzig, Germany","['r', 'ggplot2', 'dataframe', 'regex', 'string', 'plot']"
United Kingdom,"['c#', '.net', 'node.js', 'asp.net', 'javascript', 'linq']"
Warsaw/Poland,"['gradle', 'groovy', 'java', 'android', 'build.gradle', 'spock']"
"New York, NY","['python', 'java', 'c', 'c++', 'algorithm', 'multithreading']"
Tennessee,"['javascript', 'html', 'jquery', 'c#', 'css', 'ajax']"
"Québec, QC, Canada","['go', 'python', 'windows', 'haskell', 'macos', 'activepython']"
,"['git', 'ruby', 'bash', 'shell', 'string', 'linux']"
The Netherlands,"['r', 'ggplot2', 'data.table', 'dataframe', 'plot', 'dplyr']"
"Poznań, Poland 👫💖🚀🌔👽","['javascript', 'arrays', 'jquery', 'html', 'angular', 'json']"
"London, United Kingdom","['php', 'html', 'zend-framework', 'jquery', 'c++', 'python']"
"Aarhus, Denmark","['java', 'date', 'datetime', 'android', 'java-8', 'java-time']"
"Knoxville, Tennessee, United States","['vue.js', 'vuejs2', 'javascript', 'vue-component', 'vue-router', 'vuex']"
United States,"['c#', '.net', 'dotnetopenauth', 'openid', 'asp.net', 'oauth']"
"England, UK","['c#', 'asp.net-core', '.net-core', 'angular', 'asp.net-core-mvc', 'typescript']"
United Kingdom,"['python', 'c#', 'firefox-addon', 'firefox', 'windows', 'javascript']"
"Helsinki, Finland","['java', 'android', 'collections', 'xml', 'wicket', 'spring']"
,"['java', 'android', 'swing', 'jtable', 'c#', 'json']"
"Buenos Aires, Argentina","['c#', '.net', 'asp.net', 'java', 'jquery', 'javascript']"
Canada,"['python', 'javascript', 'jquery', 'google-app-engine', 'django', 'jinja2']"
"Basking Ridge, NJ","['jquery', 'javascript', 'html', 'css', 'jquery-selectors', 'arrays']"
"Medford, NJ, United States","['javascript', 'python', 'c#', 'python-3.x', 'list', 'wpf']"
"Santa Cruz, CA, USA","['c++', 'python', 'c', 'c++11', 'gcc', 'arrays']"
"Mountain View, CA","['android-studio', 'android', 'gradle', 'android-gradle-plugin', 'java', 'build.gradle']"
"Baltimore, MD","['java', 'json', 'jackson', 'rest', 'objective-c', 'android']"
"Pennsylvania, USA","['wpf', 'c#', 'xaml', 'mvvm', 'datagrid', 'binding']"
Vermont,"['git', 'php', 'javascript', 'html', 'session', 'oop']"
"Utah, United States","['javascript', 'c#', 'jquery', 'asp.net', 'css', 'html']"
"Clermont-Ferrand, France","['c++', 'templates', 'boost', 'stl', 'c++11', 'inheritance']"
EU,"['c', 'floating-point', 'c++', 'ocaml', 'assembly', 'java']"
"Highland Lakes, NJ","['python', 'mysql', 'php', 'javascript', 'codeigniter', 'jquery']"
"Perth, Australia","['javascript', 'html', 'jquery', 'css', 'php', 'c']"
,"['sql-server', 'sql', 'java', 'python', 'excel', 'c#']"
"Amsterdam, Netherlands","['python', 'pycharm', 'python-2.7', 'django', 'python-3.x', 'list']"
"Paris, France","['java', 'maven', 'maven-2', 'jsf', 'eclipse', 'html']"
"Dresden, Germany","['spring-data', 'spring', 'java', 'spring-data-jpa', 'jpa', 'spring-data-rest']"
"Kyiv city, Ukraine","['python', 'php', 'awk', 'javascript', 'arrays', 'bash']"
"Minneapolis, MN","['c#', 'sql', 'java', '.net', 'database', 'vb.net']"
"Ann Arbor, MI, United States","['mercurial', 'version-control', 'git', 'dvcs', 'merge', 'tortoisehg']"
,"['ruby', 'string', 'arrays', 'hash', 'ruby-on-rails', 'regex']"
"Cumming, GA","['java', 'xml', 'spring', 'hibernate', 'xsd', 'jakarta-ee']"
"San Francisco, CA","['objective-c', 'iphone', 'ios', 'cocoa-touch', 'cocoa', 'xcode']"
,"['jquery', 'javascript', 'css', 'html', 'ajax', 'jquery-ui']"
"Oshrat, ישראל","['sql-server', 'sql', 'c#', 'tsql', 'sql-server-2008', '.net']"
,"['java', 'spring', 'spring-boot', 'spring-mvc', 'web-services', 'hibernate']"
United Kingdom,"['ruby', 'sinatra', 'ruby-on-rails', 'haml', 'heroku', 'rack']"
"Portland, OR, USA","['javascript', 'git', 'objective-c', 'ruby-on-rails', 'ios', 'cocoa']"
"Brisbane QLD, Australia","['c#', '.net', 'async-await', 'linq', 'arrays', 'string']"
Hungary,"['android', 'java', 'realm', 'kotlin', 'dagger-2', 'android-fragments']"
"Boulder, CO","['regex', 'perl', 'unicode', 'utf-8', 'java', 'php']"
"Katy, TX","['php', 'arrays', 'multidimensional-array', 'regex', 'mysql', 'json']"
Singapore,"['laravel', 'eloquent', 'php', 'laravel-4', 'mysql', 'sql']"
"Toronto, Ontario, Canada","['python', 'java', 'apache-flex', 'c++', 'language-agnostic', 'algorithm']"
"London, United Kingdom","['ios', 'git', 'objective-c', 'iphone', 'php', 'xcode']"
South Africa,"['c#', 'sharepoint', 'wcf', 'wss', '.net', 'coded-ui-tests']"
"Boston, MA, United States","['f#', 'haskell', 'c#', 'functional-programming', 'purescript', '.net']"
"Montreal, Canada","['ruby', 'arrays', 'ruby-on-rails', 'javascript', 'parsley.js', 'jquery']"
"London, United Kingdom","['git', 'python', 'macos', 'multithreading', 'windows', 'c++']"
India,"['mysql', 'php', 'javascript', 'lua', 'regex', 'apache']"
"Besancon, France","['python', 'jenkins', 'svn', 'list', 'linux', 'string']"
Germany,"['javafx', 'java', 'javafx-8', 'fxml', 'c++', 'tableview']"
,"['python', 'pandas', 'dataframe', 'python-3.x', 'numpy', 'list']"
Israel,"['angularjs', 'java', 'javascript', 'android', 'angularjs-ng-repeat', 'angularjs-directive']"
"Cairo, Egypt","['sql', 'mysql', 'sql-server', 'sql-server-2008', 'tsql', 'c#']"
UK,"['python', 'c++', 'c', 'numpy', 'windows', 'scipy']"
"Tokyo, Japan","['cors', 'javascript', 'fetch-api', 'html', 'content-security-policy', 'angular']"
United Kingdom,"['swift', 'ios', 'swift3', 'generics', 'arrays', 'swift-protocols']"
"Budapest, Hungary","['html', 'javascript', 'jquery', 'css', 'php', 'layout']"
"Bochum, Germany","['batch-file', 'windows', 'cmd', 'escaping', 'command-line', 'for-loop']"
,"['functional-programming', 'algorithm', 'c', 'sqlite', 'scheme', 'lisp']"
"Lynchburg, VA, United States","['graphql', 'apollo', 'javascript', 'graphql-js', 'apollo-client', 'reactjs']"
Netherlands,"['c++', 'java', 'performance', 'go', 'c++11', 'multithreading']"
,"['python', 'php', 'c++', 'c', 'c#', 'linux']"
Lebanon,"['firebase', 'flutter', 'dart', 'google-cloud-firestore', 'android', 'firebase-realtime-database']"
"Seattle, WA","['javascript', 'c#', 'html', 'css', 'asp.net', 'jquery']"
"White Bear Lake, MN, USA","['c#', 'javascript', '.net', 'asp.net', 'jquery', 'asp.net-mvc']"
"Pottstown, PA, United States","['javascript', 'c#', '.net', 'jquery', 'regex', 'f#']"
,"['jquery', 'css', 'html', 'javascript', 'java', 'jquery-selectors']"
"Amsterdam, Netherlands","['python', 'django', 'sql', 'django-models', 'mysql', 'postgresql']"
falling down all these questions,"['haskell', 'monads', 'functional-programming', 'typeclass', 'types', 'syntax']"
"Edinburgh, United Kingdom","['fortran', 'matlab', 'fortran90', 'algorithm', 'arrays', 'c++']"
"Tel Aviv-Yafo, Israel","['python', 'pandas', 'python-3.x', 'dataframe', 'python-2.7', 'dictionary']"
"Sydney, Australia","['ruby', 'ruby-on-rails', 'git', 'arrays', 'regex', 'string']"
,"['mysql', 'sql', 'jquery', '.htaccess', 'mod-rewrite', 'php']"
United States,"['android', 'c#', 'asp.net', 'java', 'layout', 'google-maps']"
"Kathmandu, Nepal","['php', 'javascript', 'mysql', 'jquery', 'css', 'html']"
"Dublin, Ireland","['css', 'html', 'twitter-bootstrap', 'javascript', 'vue.js', 'bootstrap-4']"
"Zurich, Switzerland","['python', 'c', 'c++', 'linux', 'perl', 'ruby']"
"Brentwood, CA","['html', 'css', 'jquery', 'php', 'javascript', 'arrays']"
"Kochi, Kerala, India","['django', 'python', 'django-rest-framework', 'fastapi', 'django-models', 'python-3.x']"
/dev/null,"['python', 'python-3.x', 'list', 'django', 'dictionary', 'python-2.7']"
"Cambridge, MA","['coffeescript', 'node.js', 'javascript', 'ruby-on-rails', 'jquery', 'backbone.js']"
"Barrington, RI, United States","['sql-server', 'sql', 'tsql', 'sql-server-2008', 'sql-server-2012', 'pivot']"
United States,"['entity-framework', 'tfs', '.net', 'c#', 'wpf', 'visual-studio']"
Switzerland,"['c#', '.net', 'javascript', 'sql-server', 'sql', 'asp.net']"
"Oceanside, CA","['android', 'java', 'c++', 'c', 'multithreading', 'php']"
"Chennai, Tamil Nadu, India","['bash', 'shell', 'linux', 'jq', 'json', 'awk']"
"Hillsboro, OR","['python', 'machine-learning', 'python-3.x', 'algorithm', 'list', 'recursion']"
"Göteborg, Sverige","['c++', 'c', 'c++11', 'c++17', 'arrays', 'bash']"
,"['php', 'jquery', 'node.js', 'java', 'ajax', 'mysql']"
"New York, NY, United States","['python', 'r', 'ggplot2', 'list', 'string', 'django']"
"Bel Air, MD, United States","['macos', 'postgresql', 'laravel', 'php', 'eloquent', 'javascript']"
,"['python', 'git', 'pip', 'virtualenv', 'python-3.x', 'setuptools']"
Upper Pylon 2,"['r', 'ggplot2', 'dataframe', 'rvest', 'web-scraping', 'plot']"
"Bengaluru, Karnataka, India","['ios', 'swift', 'xcode', 'objective-c', 'uilabel', 'swift3']"
Berlin,"['ruby', 'ruby-on-rails', 'regex', 'heroku', 'git', 'version-control']"
"Luton, United Kingdom","['html', 'css', 'javascript', 'xhtml', 'xml', 'dom']"
"North Potomac, MD, USA","['c#', 'reflection', '.net', 'asp.net', 'linq', 'sql']"
"Strasbourg, France","['c', 'c++', 'gcc', 'arrays', 'c11', 'linux']"
"Maryland, USA","['bash', 'shell', 'makefile', 'linux', 'lua', 'awk']"
"Hadj Mechri Laghouat ⇄ Bab Ezzouar Algiers, Algeria","['vue.js', 'javascript', 'vuejs3', 'vuejs2', 'vue-component', 'vue-composition-api']"
Spain,"['java', 'grails', 'mysql', 'sql', 'javascript', 'jquery']"
"London, United Kingdom","['jquery', '.net', 'castle-windsor', 'inversion-of-control', 'c#', 'java']"
Italy,"['vim', 'mysql', 'javascript', 'php', 'bash', 'svn']"
,"['java', 'lombok', 'arrays', 'generics', 'multithreading', 'string']"
From the River to the Sea,"['java', 'mockito', 'unit-testing', 'junit', 'generics', 'arrays']"
,"['unity3d', 'c#', 'game-development', 'unity-editor', 'visual-studio', 'coroutine']"
"London, United Kingdom","['ant', 'bash', 'sql', 'shell', 'mysql', 'java']"
,"['java', 'batch-file', 'ruby', 'swing', 'android', 'ruby-on-rails']"
Costa Rica,"['java', 'java-8', 'jpa', 'generics', 'node.js', 'hibernate']"
,"['javascript', 'reactjs', 'jquery', 'arrays', 'html', 'json']"
"Austin, TX","['ruby-on-rails', 'ruby', 'css', 'reactjs', 'html', 'php']"
United Kingdom,"['ruby-on-rails', 'ruby-on-rails-4', 'ruby', 'jquery', 'ruby-on-rails-3', 'javascript']"
"Truckee, CA","['jquery', 'javascript', 'jquery-mobile', 'html', 'css', 'ajax']"
"Denver, CO","['java', 'gson', 'android', 'json', 'arrays', 'c']"
,"['vb.net', 'outlook', 'django', 'python', 'file', 'django-migrations']"
,"['python', 'list', 'python-3.x', 'pandas', 'dictionary', 'numpy']"
"Milan, Italy","['jquery', 'php', 'javascript', 'html', 'jquery-ui', 'datatables']"
,"['ant', 'docker', 'maven', 'java', 'ivy', 'nexus']"
"Novosibirsk, Russia","['algorithm', 'math', 'geometry', 'delphi', 'python', 'javascript']"
"Bangalore, India","['java', 'eclipse', 'jakarta-ee', 'jpa', 'servlets', 'jdbc']"
"Sydney, Australia","['objective-c', 'c++', 'cocoa', 'cocoa-touch', 'c', 'iphone']"
"Boston, MA","['python', 'c++', 'python-3.x', 'linux', 'java', 'c']"
United Kingdom,"['c++', 'qt', 'mfc', 'visual-c++', 'c', 'windows']"
Israel,"['c++', 'c#', 'windows', 'c', 'qt', 'visual-studio']"
"Perth, Western Australia","['batch-file', 'windows', 'cmd', 'for-loop', 'command-line', 'batch-processing']"
Universe,"['mysql', 'sql', 'c#', 'sql-server', 'asp.net', 'php']"
"Houston, TX","['postgresql', 'javascript', 'node.js', 'perl', 'sql', 'database']"
"San Francisco, CA","['c#', 'sql-server', '.net', 'sql', 'tsql', 'winforms']"
"Boston, MA","['grails', 'groovy', 'grails-orm', 'spring-security', 'grails-plugin', 'hibernate']"
Netherlands,"['git', 'python', 'c++', 'c', 'c#', '.net']"
"Lehi, UT, USA","['javascript', 'java', 'python', 'c++', 'jquery', 'scala']"
"Vancouver, BC","['python', 'list', 'c', 'c++', 'python-3.x', 'linux']"
Illinois,"['c#', 'c', 'c++', '.net', 'struct', 'undefined-behavior']"
France,"['vim', 'c++', 'sql', 'oracle', 'bash', 'sqlite']"
California,"['c#', 'linq', '.net', 'java', 'asp.net-mvc', 'asp.net']"
,"['javascript', 'php', 'regex', 'mysql', 'jquery', 'ruby']"
,"['javascript', 'php', 'html', 'jquery', 'apache-flex', 'css']"
"Boston, Massachusetts, USA","['twitter-bootstrap', 'css', 'html', 'javascript', 'drop-down-menu', 'jquery']"
Ukraine,"['sql', 'sql-server', 'batch-file', 'windows', 'mysql', 'tsql']"
"San Francisco, CA","['android', 'retrofit', 'java', 'android-actionbar', 'actionbarsherlock', 'picasso']"
"San Diego, CA","['ios', 'iphone', 'objective-c', 'cocoa-touch', 'core-location', 'xcode']"
"Leeds, United Kingdom","['ios', 'objective-c', 'swift', 'iphone', 'xcode', 'autolayout']"
disappeared into oblivion,"['cluster-analysis', 'data-mining', 'python', 'machine-learning', 'java', 'k-means']"
"Los Angeles, CA, United States","['c#', 'asp.net-mvc', 'css', 'javascript', '.net', 'asp.net']"
"Sioux Falls, SD","['javascript', 'css', 'html', 'jquery', 'dom', 'image']"
"Ramat Gan, Israel","['vim', 'java', 'c++', 'python', 'boost', 'latex']"
San Francisco,"['ios', 'objective-c', 'iphone', 'android', 'swift', 'java']"
,"['excel', 'vba', 'c#', 'sql', 'sql-server', 'vb6']"
New Zealand,"['r', 'ggplot2', 'gridextra', 'plot', 'gtable', 'r-grid']"
"Perth, Australia","['javascript', 'function', 'jquery', 'html', 'forms', 'css']"
"Ghent, Belgium","['itext', 'pdf', 'java', 'itextsharp', 'c#', 'pdf-generation']"
United States,"['python', 'java', 'javascript', 'scala', 'intellij-idea', 'amazon-web-services']"
"Philadelphia, PA","['python', 'php', 'oop', 'c', 'java', 'shell']"
Germany,"['java', 'spring-data-jpa', 'spring', 'hibernate', 'spring-data', 'spring-boot']"
"Oslo, Norway","['java', 'spring', 'javascript', 'jsp', 'git', 'c#']"
,"['meteor', 'javascript', 'mongodb', 'node.js', 'meteorite', 'handlebars.js']"
"Basel, Switzerland","['matlab', 'plot', 'matrix', 'arrays', 'image-processing', 'vectorization']"
"Kerala, India","['php', 'date', 'arrays', 'regex', 'json', 'html']"
"Santa Clara, CA, USA","['windows', 'c++', 'opengl', 'visual-c++', 'cuda', 'c']"
Milky Way,"['delphi', 'inno-setup', 'pascalscript', 'delphi-xe2', 'delphi-7', 'installation']"
"Denver, CO","['iphone', 'ios', 'objective-c', 'cocoa-touch', 'xcode', 'cocoa']"
"Shanghai, China","['jestjs', 'javascript', 'reactjs', 'unit-testing', 'node.js', 'typescript']"
,"['php', 'mysql', 'html', 'forms', 'mysqli', 'email']"
"Brisbane QLD, Australia","['java', 'jaxb', 'xsd', '.net', 'unit-testing', 'c#']"
United Kingdom,"['android', 'java', 'android-layout', 'xml', 'android-studio', 'android-intent']"
United States,"['c#', 'javascript', 'html', 'css', 'jquery', '.net']"
"Bordeaux, France","['python', 'django', 'python-3.x', 'class', 'django-models', 'python-2.7']"
Europe,"['postgresql', 'sql', 'mysql', 'ruby', 'php', 'database']"
,"['php', 'python', 'javascript', 'objective-c', 'mysql', 'c++']"
,"['android', 'java', 'android-studio', 'android-layout', 'android-gradle-plugin', 'gradle']"
"Kirkland, WA","['c#', '.net', 'windows', 'android', 'c++', 'wpf']"
,"['javascript', 'html', 'arrays', 'google-chrome', 'css', 'jquery']"
Maine,"['docker', 'django', 'python', 'dotcloud', 'nginx', 'django-models']"
Texas,"['java', 'spring', 'spring-boot', 'spring-mvc', 'maven', 'android']"
"Berlin, Germany","['c++', 'python', 'stl', 'boost', 'c', 'java']"
"London, United Kingdom","['c#', '.net', 'wpf', 'visual-studio', 'xaml', 'python']"
Italy,"['c++', 'php', 'c++11', 'haskell', 'arrays', 'ruby']"
"Mountain View, CA","['android', 'android-layout', 'java', 'android-edittext', 'textview', 'android-activity']"
"Vienna, Austria","['android', 'javascript', 'xml', 'java', 'html', 'c#']"
,"['python', 'pandas', 'python-2.7', 'beautifulsoup', 'html', 'numpy']"
New Jersey,"['python', 'python-3.x', 'tkinter', 'python-2.7', 'algorithm', 'list']"
,"['c++', 'c', 'linux', 'gcc', 'unix', 'python']"
South Africa,"['mysql', 'delphi', 'sql', 'php', 'assembly', 'database']"
"New York, United States","['java', 'php', 'mysql', 'arrays', 'c', 'matlab']"
France,"['jquery', 'javascript', 'html', 'css', 'ajax', 'jquery-ui']"
United States,"['java', 'php', 'encryption', 'http', 'security', 'servlets']"
"Moscow, Idaho United States","['d', 'language-agnostic', 'c#', 'c++', 'compiler-construction', 'algorithm']"
Earth,"['jquery', 'javascript', 'html', 'css', 'ajax', 'php']"
,"['c++', 'c++11', 'c', 'multithreading', 'string', 'templates']"
"Antrim, United Kingdom","['javascript', 'ecmascript-6', 'jquery', 'html', 'c#', 'css']"
"Philadelphia, PA","['c#', '.net', 'winforms', 'audio', 'iphone', 'compact-framework']"
